ID,NC_t1,DM_t1,NS_t1,ADD_t1,SUB_t1,CA_t1,NC_t2,DM_t2,NS_t2,ADD_t2,SUB_t2,CA_t2,RMAT,TIME
62,592.28,1621.97368421053,14,43,38,22,639.294117647059,995.4,16,54,45,25,31,25
63,1093.0612244898,1582.875,19,38,36,21,843.21568627451,1914,20,28,29,27,31,25
64,956.583333333333,1350.825,13,41,30,21,775.574468085106,1256.68421052632,15,19,16,16,35,25
65,661.44,1180.725,23,39,43,-99,544.44,1010.91666666667,23,49,44,30,46,27
66,1052,2284,18,45,40,33,1032.86274509804,2583,18,42,33,25,35,25
67,936,2524.30769230769,8,33,33,22,1051.96,1722,13,40,37,23,26,25
68,732.078431372549,1713.38461538462,4,29,26,12,-99,-99,-99,-99,-99,-99,24,-99
69,1040.5,2338,15,37,31,24,865.347826086957,1726.09756097561,19,35,31,23,27,25
70,698.36,2509.5,9,34,32,17,659.608695652174,1107.75,16,37,31,20,33,27
71,644.163265306122,1290.45,20,47,6,-99,-99,-99,-99,-99,-99,-99,37,-99
72,757.25,1167.83333333333,15,48,44,30,766.723404255319,1103.05263157895,21,51,43,30,32,27
73,757.5,1542.73170731707,18,40,36,28,919.020408163265,1740.5,14,35,26,20,28,25
74,1809.80392156863,2945.5,11,32,36,17,-99,-99,-99,-99,-99,-99,30,-99
75,766,2341.23076923077,12,31,-99,-99,-99,-99,-99,-99,-99,-99,26,-99
76,975,1730.84210526316,13,24,31,20,-99,-99,-99,-99,-99,-99,30,-99
77,882,1596,24,50,45,34,-99,-99,-99,-99,-99,-99,41,-99
78,752.5,1684.09756097561,7,37,32,21,657.8,1645.35,9,37,35,19,29,25
79,955.102040816327,2185.65789473684,9,39,24,24,654.588235294118,1204.35,12,44,26,27,25,27
80,870.745098039216,2312.27027027027,18,51,46,24,721.76,1621.97368421053,-99,-99,-99,-99,31,27
81,835.5,1937.12195121951,11,28,24,3,1110.35294117647,1871.1,10,37,37,19,18,27
82,931,1873.5,20,46,39,27,-99,-99,-99,-99,-99,-99,28,-99
83,569.960784313726,1543.5,18,52,49,35,651.04,1609.81578947368,22,46,44,30,41,25
84,718.823529411765,1484.34146341463,7,28,24,4,879.224489795918,1987.81578947368,10,30,24,12,22,28
85,725.739130434783,2360.61538461538,13,43,28,7,850.416666666667,1324.0243902439,7,35,5,8,26,27
86,1053.27659574468,3118.5,6,8,17,2,1108.95652173913,2388.16666666667,8,29,24,12,25,27
87,841.957446808511,1622.25,15,41,27,22,633.208333333333,1159.59375,14,43,38,28,30,27
