NC,DM,NS,ADD,SUB,CA,NP,SN,AF,BC,AS,PF,Label
980.2,3614.0487804878,12,24,26,15,2297.1243902439,-2633.8487804877996,19.25,10.0,-2,0.008380042492150852,1
847.08,1811.38461538462,11,49,44,27,1329.23230769231,-964.30461538462,32.75,19.5,5,0.02463828166865543,0
1073.5,2352.0,12,47,38,21,1712.75,-1278.5,29.5,21.5,9,0.01722376295431324,0
567.921568627451,1516.2,17,35,61,38,1042.0607843137254,-948.278431372549,37.75,10.0,-26,0.03622629367524005,0
629.098039215686,1830.86842105263,18,56,49,26,1229.983230134158,-1201.7703818369441,37.25,26.5,7,0.030284965751880236,0
798.2,1751.5,21,64,69,38,1274.85,-953.3,48.0,28.5,-5,0.037651488410401224,0
951.294117647059,2147.12195121951,17,41,37,29,1549.2080344332844,-1195.8278335724508,31.0,10.0,4,0.020010224134514063,0
1710.46808510638,3418.39024390244,4,19,19,13,2564.42916450441,-1707.92215879606,13.75,6.0,0,0.005361817043075652,1
1675.44,2805.29268292683,8,14,14,6,2240.3663414634148,-1129.8526829268299,10.5,8.0,0,0.004686733506780576,1
899.294117647059,2301.0,10,44,31,24,1600.1470588235295,-1401.705882352941,27.25,13.5,13,0.017029684771620254,0
1093.01960784314,2463.65853658537,12,52,43,22,1778.3390722142549,-1370.6389287422298,32.25,25.5,9,0.018134899302327485,0
992.078431372549,1631.0,11,31,36,13,1311.5392156862745,-638.921568627451,22.75,20.5,-5,0.017346031081576056,1
774.901960784314,3168.78947368421,8,28,30,12,1971.8457172342619,-2393.887512899896,19.5,17.0,-2,0.009889211833140257,1
647.5,1675.275,20,46,46,33,1161.3875,-1027.775,36.25,13.0,0,0.031212665884556186,0
1840.8,2940.0,11,19,22,10,2390.4,-1099.2,15.5,10.5,-3,0.0064842704149933065,1
1495.76470588235,3014.78048780488,3,15,4,21,2255.2725968436152,-1519.01578192253,10.75,-11.5,11,0.004766607821619989,1
882.916666666667,2332.05,8,26,20,15,1607.4833333333336,-1449.1333333333332,17.25,8.0,6,0.010731059938413046,1
1199.56862745098,3297.0,8,18,14,9,2248.28431372549,-2097.43137254902,12.25,7.0,4,0.005448599149678404,1
1586.0,3100.62162162162,4,15,16,7,2343.31081081081,-1514.6216216216199,10.5,8.5,-1,0.004480839652835848,1
901.0,1958.25,12,30,30,23,1429.625,-1057.25,23.75,7.0,0,0.01661274809827752,1
1450.69387755102,2711.0,5,23,29,11,2080.84693877551,-1260.30612244898,17.0,15.0,-6,0.008169750346944681,1
1158.56,3022.5,4,18,14,9,2090.5299999999997,-1863.94,11.25,7.0,4,0.005381410455721755,1
1425.92156862745,3537.45,9,15,11,13,2481.685784313725,-2111.5284313725497,12.0,0.0,4,0.004835422790366843,1
1194.96,2755.84615384615,7,17,9,8,1975.403076923075,-1560.8861538461501,10.25,5.0,8,0.005188814434756066,1
930.8,2380.73684210526,12,31,27,16,1655.76842105263,-1449.9368421052602,21.5,13.0,4,0.01298490762756044,1
1575.91836734694,2815.07692307692,4,10,15,7,2195.49764521193,-1239.1585557299802,9.0,5.5,-5,0.004099298407186967,1
1594.5,3403.13513513514,9,13,13,4,2498.81756756757,-1808.63513513514,9.75,9.0,0,0.0039018454674508173,1
1165.32,3084.9,6,18,26,8,2125.11,-1919.5800000000002,14.5,14.0,-8,0.006823176212054905,1
1651.0,2926.0,7,22,12,8,2288.5,-1275.0,12.25,9.0,10,0.005352851212584662,1
1574.08333333333,3326.75,15,39,35,21,2450.416666666665,-1752.66666666667,27.5,16.0,4,0.011222581193674553,1
1040.0,2132.55,13,30,29,21,1586.275,-1092.5500000000002,23.25,8.5,1,0.014656979401427872,1
