NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
1323.45098039216,3222.15384615385,5.0,8.0,6.0,2.0,1,2272.802413273005,-1898.7028657616895,5.25,5.0,2.0,0.0023099236296732
642.0,1146.29268292683,22.0,62.0,54.0,37.0,0,894.146341463415,-504.2926829268299,43.75,21.0,8.0,0.0489293507909981
1759.4223897058828,3624.46875,3.0,11.0,4.0,21.0,1,2691.9455698529414,-1865.0463602941168,9.75,-13.5,7.0,0.003621915728604
908.0,1946.34146341463,20.0,30.0,26.0,19.0,0,1427.170731707315,-1038.34146341463,23.75,9.0,4.0,0.0166413166079796
838.117647058824,2226.0,20.0,41.0,38.0,31.0,0,1532.058823529412,-1387.882352941176,32.5,8.5,3.0,0.0212132846995446
846.274509803922,2768.59459459459,17.0,37.0,30.0,21.0,0,1807.434552199256,-1922.320084790668,26.25,12.5,7.0,0.0145233474529104
931.921568627451,1562.0,23.0,58.0,53.0,34.0,0,1246.9607843137255,-630.078431372549,42.0,21.5,5.0,0.0336818932305728
1126.5,1932.0,16.0,36.0,33.0,20.0,1,1529.25,-805.5,26.25,14.5,3.0,0.0171652770966047
803.0,1729.17073170732,22.0,41.0,39.0,28.0,0,1266.08536585366,-926.17073170732,32.5,12.0,2.0,0.0256696751076189
852.0,3596.52631578947,12.0,30.0,25.0,12.0,1,2224.263157894735,-2744.52631578947,19.75,15.5,5.0,0.0088793450225936
940.5,2258.025,19.0,52.0,47.0,30.0,0,1599.2625,-1317.525,37.0,19.5,5.0,0.0231356640951544
1213.33333333333,3478.46153846154,15.0,12.0,2.0,7.0,1,2345.897435897435,-2265.1282051282096,9.0,0.0,10.0,0.0038364848617318
1264.0,2451.0,11.0,26.0,28.0,21.0,0,1857.5,-1187.0,21.5,6.0,-2.0,0.0115746971736142
677.04,1702.65789473684,13.0,35.0,33.0,21.0,1,1189.84894736842,-1025.61789473684,25.5,13.0,2.0,0.0214312918092474
936.0,2524.30769230769,8.0,33.0,33.0,22.0,1,1730.153846153845,-1588.30769230769,24.0,11.0,0.0,0.0138715987906731
899.294117647059,2301.0,10.0,44.0,31.0,24.0,0,1600.1470588235295,-1401.705882352941,27.25,13.5,13.0,0.0170296847716096
793.52,1173.0,22.0,58.0,62.0,32.0,0,983.26,-379.48,43.5,28.0,-4.0,0.0442405874335941
872.04,1738.02631578947,17.0,45.0,17.0,14.0,0,1305.0331578947348,-865.9863157894699,23.25,17.0,28.0,0.0178156392880383
698.43137254902,1811.38461538462,23.0,48.0,49.0,37.0,0,1254.90799396682,-1112.9532428356,39.25,11.5,-1.0,0.031277193378853
1253.5,2338.0,16.0,45.0,46.0,25.0,0,1795.75,-1084.5,33.0,20.5,-1.0,0.0183767228177539
838.367346938776,2254.35,22.0,52.0,54.0,30.0,0,1546.358673469388,-1415.982653061224,39.5,23.0,-2.0,0.0255438797464451
813.511111111111,1294.26315789474,19.0,65.0,70.0,34.0,0,1053.8871345029256,-480.7520467836291,47.0,33.5,-5.0,0.0445968059208952
