Training,Mode,Model,Recall,Recall_CI_Lower,Recall_CI_Upper,Recall_CI_Type,Precision,Precision_CI_Lower,Precision_CI_Upper,Precision_CI_Type,F1,F1_CI_Lower,F1_CI_Upper,F1_CI_Type,F2,F2_CI_Lower,F2_CI_Upper,F2_CI_Type,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Accuracy_CI_Type,AUC-ROC,AUC-ROC_CI_Lower,AUC-ROC_CI_Upper,AUC-ROC_CI_Type,RMSE,RMSE_CI_Lower,RMSE_CI_Upper,RMSE_CI_Type
TRSTR,no_threshold,C4.5,0.8823529411764706,0.6566364940511412,0.9671202262362074,Wilson,0.75,0.531299122381256,0.8881382985923343,Wilson,0.8108108108108109,0.6205570291777188,0.926829268292683,Bootstrap,0.8522727272727273,0.6896012931034483,0.9615963855421686,Bootstrap,0.8541666666666666,0.75,0.9375,Bootstrap,0.8994307400379506,0.7930647649684872,0.9758403361344538,Bootstrap,0.36384804344292765,0.28263283975221454,0.44018454912964977,Bootstrap
TRSTR,no_threshold,CART,0.7058823529411765,0.4686688993346016,0.8672001038970478,Wilson,0.8,0.5481455128483065,0.9295245065301844,Wilson,0.75,0.5624375,0.8890350877192981,Bootstrap,0.7228915662650602,0.5261787280701754,0.9000694444444444,Bootstrap,0.8333333333333334,0.7291666666666666,0.9375,Bootstrap,0.9240986717267552,0.8387096774193549,0.9842657342657343,Bootstrap,0.3470219339936272,0.2717331920426861,0.42561000992560066,Bootstrap
TRSTR,no_threshold,Random Forest,0.9411764705882353,0.7301796936242461,0.9895395990150025,Wilson,0.64,0.44518497748164865,0.7975211922554178,Wilson,0.7619047619047619,0.6045348837209302,0.8823871409028727,Bootstrap,0.8602150537634409,0.7291666666666666,0.9420438346400569,Bootstrap,0.7916666666666666,0.6666666666666666,0.8958333333333334,Bootstrap,0.9013282732447818,0.8087566137566138,0.9734421060701897,Bootstrap,0.3703454083261033,0.29150871924332544,0.4444317067091212,Bootstrap
TRSTR,no_threshold,Logistic Regression,0.8823529411764706,0.6566364940511412,0.9671202262362074,Wilson,0.6521739130434783,0.44890335377263,0.8118872406120227,Wilson,0.75,0.5625,0.8837209302325582,Bootstrap,0.8241758241758241,0.6716417910447762,0.9433962264150944,Bootstrap,0.7916666666666666,0.6875,0.8958333333333334,Bootstrap,0.922201138519924,0.8381959271912032,0.9841608331172759,Bootstrap,0.3693757214023013,0.3118650430401304,0.4286130216932321,Bootstrap
TRSTR,no_threshold,SVM (RBF),1.0,0.8156818649911483,1.0,Wilson,0.6296296296296297,0.4422923441210239,0.784674870390344,Wilson,0.7727272727272727,0.6206486042692939,0.8837432915921288,Bootstrap,0.8947368421052632,0.7926026957637998,0.9565448658649399,Bootstrap,0.7916666666666666,0.6666666666666666,0.8958333333333334,Bootstrap,0.9013282732447818,0.7988111255787037,0.9696969696969696,Bootstrap,0.3693560344523666,0.28946563678673987,0.4474014643061403,Bootstrap
TRSTR,no_threshold,kNN,0.7058823529411765,0.4686688993346016,0.8672001038970478,Wilson,0.5454545454545454,0.3465979532073494,0.7307970581918668,Wilson,0.6153846153846154,0.4117647058823529,0.7692307692307693,Bootstrap,0.6666666666666666,0.4477057780404906,0.8333333333333334,Bootstrap,0.6875,0.5625,0.8125,Bootstrap,0.8225806451612903,0.6923475477430555,0.923876846653616,Bootstrap,0.42367149026028805,0.3328926396852861,0.5029216103341057,Bootstrap
TRSTR,no_threshold,Naive Bayes,0.6470588235294118,0.41300363485218694,0.8269027960275627,Wilson,0.7857142857142857,0.524107694133997,0.9242861328730683,Wilson,0.7096774193548387,0.5,0.8649099099099099,Bootstrap,0.6707317073170732,0.4543425324675325,0.8666836734693878,Bootstrap,0.8125,0.6875,0.9166666666666666,Bootstrap,0.9108159392789374,0.8105393701079222,0.9753443709990199,Bootstrap,0.39683318662358646,0.2640837497388512,0.5116250785862434,Bootstrap
TRSTR,thresholded,C4.5,0.8823529411764706,0.6566364940511412,0.9671202262362074,Wilson,0.75,0.531299122381256,0.8881382985923343,Wilson,0.8108108108108109,0.6470588235294118,0.926829268292683,Bootstrap,0.8522727272727273,0.704225352112676,0.963855421686747,Bootstrap,0.8541666666666666,0.75,0.9375,Bootstrap,0.8994307400379506,0.8033196548821548,0.9744295634920636,Bootstrap,0.36384804344292765,0.27886856786481323,0.43441546464101066,Bootstrap
TRSTR,thresholded,CART,0.8823529411764706,0.6566364940511412,0.9671202262362074,Wilson,0.8333333333333334,0.6077796189608428,0.9416342319413856,Wilson,0.8571428571428571,0.6956521739130435,0.9696969696969697,Bootstrap,0.872093023255814,0.7214653902798233,0.979381443298969,Bootstrap,0.8958333333333334,0.8119791666666667,0.9791666666666666,Bootstrap,0.9240986717267552,0.8421337632275133,0.9882052163679673,Bootstrap,0.3470219339936272,0.26634997506720853,0.42302843706324955,Bootstrap
TRSTR,thresholded,Random Forest,0.9411764705882353,0.7301796936242461,0.9895395990150025,Wilson,0.6956521739130435,0.49134243731240795,0.8439597554678597,Wilson,0.8,0.6426393728222997,0.9166666666666666,Bootstrap,0.8791208791208791,0.7407407407407407,0.9615384615384616,Bootstrap,0.8333333333333334,0.7286458333333333,0.9375,Bootstrap,0.9013282732447818,0.7919128787878787,0.9759474206349207,Bootstrap,0.37034540832610324,0.2920244853987922,0.440462342769799,Bootstrap
TRSTR,thresholded,Logistic Regression,0.8823529411764706,0.6566364940511412,0.9671202262362074,Wilson,0.6521739130434783,0.44890335377263,0.8118872406120227,Wilson,0.75,0.5640625,0.8936170212765957,Bootstrap,0.8241758241758241,0.6578947368421053,0.9375,Bootstrap,0.7916666666666666,0.6666666666666666,0.8958333333333334,Bootstrap,0.922201138519924,0.8343434343434344,0.9857186948853615,Bootstrap,0.3693757214023013,0.30858845214144176,0.42772835833527995,Bootstrap
TRSTR,thresholded,SVM (RBF),0.9411764705882353,0.7301796936242461,0.9895395990150025,Wilson,0.64,0.44518497748164865,0.7975211922554178,Wilson,0.7619047619047619,0.6046511627906976,0.8837209302325582,Bootstrap,0.8602150537634409,0.7290826612903225,0.9483189655172414,Bootstrap,0.7916666666666666,0.6666666666666666,0.8958333333333334,Bootstrap,0.9013282732447818,0.8018160597572362,0.975,Bootstrap,0.3693560344523666,0.2919815521195644,0.44681121973804205,Bootstrap
TRSTR,thresholded,kNN,0.7058823529411765,0.4686688993346016,0.8672001038970478,Wilson,0.631578947368421,0.41039533164803066,0.8085048725486492,Wilson,0.6666666666666666,0.46142857142857147,0.8293699186991869,Bootstrap,0.6896551724137931,0.4838709677419355,0.8558880308880309,Bootstrap,0.75,0.625,0.875,Bootstrap,0.8225806451612903,0.6944741345799073,0.9236152071990321,Bootstrap,0.42367149026028805,0.33890552632831905,0.49933428016276554,Bootstrap
TRSTR,thresholded,Naive Bayes,0.7058823529411765,0.4686688993346016,0.8672001038970478,Wilson,0.8,0.5481455128483065,0.9295245065301844,Wilson,0.75,0.56,0.8965869106263195,Bootstrap,0.7228915662650602,0.5084438712846966,0.898876404494382,Bootstrap,0.8333333333333334,0.7291666666666666,0.9375,Bootstrap,0.9108159392789374,0.8166517857142856,0.975,Bootstrap,0.39683318662358646,0.2537372284561069,0.5128092860840239,Bootstrap
