NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
1248.0,2579.325,8.0,25.0,24.0,11.0,1,1913.6625,-1331.3249999999998,17.0,13.5,1.0,0.0088834891209871
1275.59183673469,2875.0,15.0,39.0,37.0,23.0,0,2075.295918367345,-1599.40816326531,28.5,15.0,2.0,0.0137329812812466
1574.08333333333,3326.75,15.0,40.0,35.0,21.0,1,2450.416666666665,-1752.66666666667,27.75,16.5,5.0,0.0113246046590669
889.5,2228.56097560976,13.0,33.0,31.0,14.0,0,1559.03048780488,-1339.06097560976,22.75,18.0,2.0,0.0145924022512333
894.739130434783,1914.70588235294,3.0,33.0,27.0,3.0,0,1404.7225063938615,-1019.9667519181572,16.5,27.0,6.0,0.0117460921462319
1343.8431372549,2648.0487804878,16.0,36.0,39.0,22.0,0,1995.9459588713496,-1304.2056432328998,28.25,15.5,-3.0,0.0141536898203197
757.56862745098,2303.36842105263,15.0,34.0,31.0,17.0,0,1530.4685242518049,-1545.79979360165,24.25,15.5,3.0,0.0158448211222371
956.041666666667,1942.83870967742,9.0,43.0,38.0,12.0,0,1449.4401881720437,-986.797043010753,25.5,28.5,5.0,0.0175929991510319
1344.0,3960.83333333333,8.0,21.0,25.0,12.0,1,2652.416666666665,-2616.83333333333,16.5,11.0,-4.0,0.006220742090544
581.0,1130.325,24.0,61.0,57.0,41.0,1,855.6625,-549.325,45.75,18.0,4.0,0.0534673425561439
910.541666666667,2194.21621621622,8.0,21.0,22.0,9.0,1,1552.3789414414434,-1283.674549549553,15.0,12.5,-1.0,0.0096625892039364
637.795918367347,1583.07692307692,21.0,48.0,43.0,26.0,0,1110.436420722133,-945.2810047095728,34.5,19.5,5.0,0.0310688656785348
839.28,1832.92307692308,16.0,42.0,37.0,16.0,0,1336.10153846154,-993.64307692308,27.75,23.5,5.0,0.0207693795727023
824.5,2188.54054054054,13.0,29.0,21.0,17.0,1,1506.52027027027,-1364.04054054054,20.0,8.0,8.0,0.0132756262193529
