fbeta,recall,precision,f1,accuracy,auc,rmse,threshold,conf_fact,min_samples_leaf,max_depth,tree_depth,tree_leaves
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,14,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,14,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.5,0.1,14,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.55,0.1,14,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.6,0.1,14,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,14,9,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,14,9,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.5,0.1,14,9,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.55,0.1,14,9,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.6,0.1,14,9,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,14,10,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,14,10,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.5,0.1,14,10,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.55,0.1,14,10,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.6,0.1,14,10,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,14,11,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,14,11,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.5,0.1,14,11,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.55,0.1,14,11,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.6,0.1,14,11,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,14,12,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,14,12,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.5,0.1,14,12,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.55,0.1,14,12,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.6,0.1,14,12,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,14,13,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,14,13,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.5,0.1,14,13,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.55,0.1,14,13,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.6,0.1,14,13,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,14,14,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,14,14,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.5,0.1,14,14,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.55,0.1,14,14,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.6,0.1,14,14,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,14,15,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,14,15,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.5,0.1,14,15,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.55,0.1,14,15,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.6,0.1,14,15,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,15,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,15,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.5,0.1,15,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.55,0.1,15,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.6,0.1,15,8,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.4,0.1,15,9,8,9
0.8888888888888888,1.0,0.6153846153846154,0.7619047619047619,0.7872340425531915,0.9143145161290323,0.38438215591419683,0.45,0.1,15,9,8,9
