fbeta,recall,precision,f1,accuracy,auc,rmse,conf_fact,min_samples_leaf,max_depth,tree_depth,tree_leaves
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,17,7,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,17,8,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,17,9,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,17,10,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,17,11,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,17,12,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,17,13,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,17,14,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,17,15,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,18,7,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,18,8,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,18,9,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,18,10,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,18,11,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,18,12,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,18,13,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,18,14,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.2,18,15,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,17,7,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,17,8,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,17,9,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,17,10,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,17,11,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,17,12,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,17,13,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,17,14,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,17,15,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,18,7,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,18,8,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,18,9,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,18,10,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,18,11,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,18,12,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,18,13,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,18,14,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39328479488576146,0.25,18,15,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39030110628833115,0.25,19,7,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39030110628833115,0.25,19,8,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39030110628833115,0.25,19,9,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39030110628833115,0.25,19,10,7,8
0.8035714285714286,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.7592592592592593,0.8448773448773449,0.39030110628833115,0.25,19,11,7,8
